shader,KURO1,KURO2,Light_Directional_use_implicit_lighting,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_ATMOSPHERE,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_CHARA,SWITCH_CRYSTAL,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DITHERDISABLE,SWITCH_DITHERTRANSPARENT,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_GEOMETRYMORPH,SWITCH_GLOW,SWITCH_GLOWMAP0,SWITCH_GLOWMAP1,SWITCH_GRENDEL,SWITCH_HIGHLIGHT,SWITCH_INTERIORMAP,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MIRROR,SWITCH_NEARFADE,SWITCH_NOLIGHT,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_PARALLAXMAP0,SWITCH_PARALLAXMAP1,SWITCH_PARALLAXMAP2,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SHARDSEARCH,SWITCH_SPHEREMAP,SWITCH_SSR,SWITCH_TONEMAPPING,SWITCH_TOONMAP,SWITCH_TRANSLUCENTMAP,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,SWITCH_WATERMULTI,SWITCH_WAVEDISTANCECORRECT,SWITCH_WAVEDISTANCECORRECT2,Switch_AlphaTest,Switch_Atmosphere,Switch_Billboard,Switch_BillboardY,Switch_Chara,Switch_Crystal,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap2,Switch_DiffuseMap3,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_DitherDisable,Switch_DitherTransparent,Switch_DoubleSide,Switch_GeometryMorph,Switch_Glow,Switch_GlowMap0,Switch_GlowMap1,Switch_Grendel,Switch_HighLight,Switch_InteriorMap,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_Mirror,Switch_NearFade,Switch_NoLight,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_NormalMap3,Switch_ParallaxMap0,Switch_ParallaxMap1,Switch_ParallaxMap2,Switch_Refraction,Switch_RimAlpha,Switch_SSR,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_ShardSearch,Switch_SphereMap,Switch_ToneMapping,Switch_ToonMap,Switch_TranslucentMap,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,Switch_WaterMulti,Switch_WaveDistanceCorrect,Switch_WaveDistanceCorrect2,TEX1BLENDMODE,TEX2BLENDMODE,TEX3BLENDMODE,TEX4BLENDMODE,frozen,isShadowEnable_g,lightEnable_g,postTransparent_g
basic#d6c14fde3a33d73d,a1000.mdl,a1000.mdl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,,,,,,,,0,,,,,,0,0,0,,0,1,0,
chr_cloth#005f1b4232bd9f54,e00kmo00.mdl,e00kmo00.mdl,1,1,,,,,,,,-1,,,,,,,,,,,,,,-1,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,,,,,0,,,,,,1,0,0,,,,,,0,0,,1,1,0,0,,,1,0,,0,,,,0,0,,,,,,,,,0,0,,,,,,1,,0,,,,,,0,0,,,0,0,0,
chr_cloth#01ec8ce2ccbba21a,equ0324.mdl,equ0324.mdl,1,1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,-1,,,,,,,-1,,,,,,,,1,,,,,0,,,,,,1,1,0,,,,,,0,0,,0,0,0,0,,,1,0,,0,,,,1,0,,,,,,,,,0,1,,,,,,1,,0,,,,,,1,0,,,0,0,0,
chr_cloth#06cca1dce0152871,equ0130_c00.mdl,equ0130_c00.mdl,1,1,,,,,,-1,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,1,,,,,,1,1,0,,,,,,0,0,,0,0,0,0,,,1,0,,0,,,,0,0,,,,,,,,,0,1,,,,,,1,,0,,,,,,1,0,,,0,0,0,
chr_cloth#06f8d441b1011b2c,chr0328.mdl,chr0328.mdl,1,2,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,-1,,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,0,,,,,,1,0,0,,,,,,0,0,,0,0,0,0,,,1,0,,1,,,,1,0,,,,,,,,,0,1,,,,,,1,,0,,,,,,0,0,,,0,0,0,
chr_cloth#07e57f9c9e9dc4af,chr5790.mdl,chr0120.mdl,1,1,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,-1,,,,,,,-1,,,,,,,,1,,,,,0,,,,,,1,0,0,,,,,,0,0,,0,0,0,0,,,1,0,,0,,,,1,0,,,,,,,,,0,1,,,,,,1,,0,,,,,,0,0,,,0,0,0,
chr_cloth#0887c3f5ba65a796,equ0070.mdl,equ0070.mdl,1,1,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,1,,,,,0,,,,,,1,0,0,,,,,,0,0,,0,0,0,0,,,0,0,,0,,,,0,0,,,,,,,,,0,1,,,,,,1,,0,,,,,,0,0,,,0,0,0,
chr_cloth#092b4edd0065136c,chr0305.mdl,chr0305.mdl,1,0,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,,,,,0,,,,,,1,0,0,,,,,,0,0,,0,0,0,0,,,0,0,,0,,,,0,0,,,,,,,,,0,0,,,,,,1,,0,,,,,,0,0,,,0,0,0,
chr_cloth#092db73ecb36160f,chr0301.mdl,chr0301.mdl,1,1,-1,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,-1,,,,,,,-1,,,,,,,,1,,,,,0,,,,,,1,0,0,,,,,,0,1,,0,0,0,0,,,0,0,,1,,,,1,0,,,,,,,,,0,1,,,,,,1,,0,,,,,,0,0,,,0,0,0,
chr_cloth#09b0b0443526e41f,equ8001.mdl,equ8001.mdl,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,,-1,,,,,,,,-1,,,,,,,-1,,,,,,,,0,,,,,0,,,,,,1,0,0,,,,,,0,0,,0,0,0,0,,,1,0,,1,,,,0,1,,,,,,,,,0,1,,,,,,1,,0,,,,,,0,0,,,0,0,0,
